,Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
0,phenothrin,-5.24,-6.763,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C 
1,"2,2'-PCB",-5.27,-4.984,Clc1ccccc1c2ccccc2Cl 
2,Methyl octanoate,-3.17,-2.608,CCCCCCCC(=O)OC
3,Dyphylline,-0.17,-0.847,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O
4,"2,2',3,4,5,5'-PCB",-7.68,-7.343,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
5,RTI 22,-4.871,-4.408,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 
6,"1,2,4,5-Tetrachlorobenzene",-5.56,-4.621,Clc1cc(Cl)c(Cl)cc1Cl
7,Di-n-propylsulfide,-2.58,-2.307,CCCSCCC
8,nifedipine,-4.76,-4.248,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
9,2-Methylpentanol,-1.11,-1.381,CCCC(C)CO
10,brompyrazone,-3.127,-3.005,c1ccccc1n2ncc(N)c(Br)c2(=O)
11,p-Phenylphenol,-3.48,-3.701,Oc1ccc(cc1)c2ccccc2
12,"1,5-Dimethlnapthalene",-4.678999999999999,-4.147,Cc1cccc2c(C)cccc12
13,2-Methyltetrahydrofurane,0.11,-1.034,CC1CCCO1
14,p-Chloroaniline,-1.66,-2.392,Nc1ccc(Cl)cc1
15,ethiofencarb,-2.09,-2.855,CCSCc1ccccc1OC(=O)NC 
16,tetrachloroguaiacol,-4.02,-4.2989999999999995,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl 
17,"3,5-Dimethylphenol",-1.4,-2.6519999999999997,Cc1cc(C)cc(O)c1
18,Flucytosine,-0.972,-0.132,Nc1nc(=O)[nH]cc1F
19,hydrobenzoin,-1.93,-2.645,c1ccccc1C(O)C(O)c2ccccc2
20,2-Bromonapthalene,-4.4,-4.434,Brc1ccc2ccccc2c1
21,Carbetamide,-1.83,-2.29,c1c(NC(=O)OC(C)C(=O)NCC)cccc1
22,"1,2,3,4-Tetrachlorobenzene",-4.57,-4.546,Clc1ccc(Cl)c(Cl)c1Cl
23,Thymol,-2.22,-3.1289999999999996,CC(C)c1ccc(C)cc1O
24,trans-2-Heptene ,-3.82,-2.784,CCCC/C=C/C
25,Secobarbital,-2.356,-2.415,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C
26,"3,5-Dichlorophenol",-1.34,-3.428,Oc1cc(Cl)cc(Cl)c1
27,Tetradecane,-7.96,-5.45,CCCCCCCCCCCCCC
28,Guaiacol,-1.96,-1.9409999999999998,COc1ccccc1O 
29,pregnenolone,-4.65,-4.342,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C 
30,2-methoxypteridine,-1.11,-1.589,COc2ncc1nccnc1n2
31,Metronidazole,-1.22,-0.8590000000000001,Cc1ncc(N(=O)=O)n1CCO
32,o-Toluidine,-2.21,-1.922,Cc1ccccc1N
33,Benzyltrifluoride,-2.51,-3.0989999999999998,FC(F)(F)c1ccccc1
34,Pyrazon,-2.878,-2.603,Nc2cnn(c1ccccc1)c(=O)c2Cl
35,Lindane,-4.64,-4.0089999999999995,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
36,3-Methylpentane,-3.68,-2.6,CCC(C)CC
37,Diisopropyl ether ,-1.1,-1.281,CC(C)OC(C)C
38,3-Pentanone,-0.28,-0.912,CCC(=O)CC
39,Terbutryn,-4.0,-3.75,CCNc1nc(NC(C)(C)C)nc(SC)n1
40,Pirimicarb,-1.95,-2.34,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
41,Hydrocortisone ,-3.09,-3.159,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
42,D-fenchone,-1.85,-2.158,CC2(C)C1CCC(C)(C1)C2=O
43,Methyl propionate,-0.14,-0.836,CCC(=O)OC
44,Methyl butyl ether ,-0.99,-1.072,CCCCOC
45,Buturon,-3.9,-3.199,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1
46,hydrazobenzene,-2.92,-3.492,N(Nc1ccccc1)c2ccccc2 
47,Metoxuron,-2.5639999999999996,-2.6830000000000003,COc1ccc(NC(=O)N(C)C)cc1Cl
48,Ethylene,-0.4,-0.815,C=C
49,Dimethyl sulfide,-0.45,-0.758,CSC
50,"2,3-Dichloronitrobenzene",-3.48,-3.322,O=N(=O)c1c(Cl)c(Cl)ccc1
51,Anthracene,-6.35,-4.518,c1ccc2cc3ccccc3cc2c1
52,1-Octyne ,-3.66,-2.509,CCCCCCC#C
53,DNOC,-1.456,-2.818,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O
54,Nonane,-5.88,-3.678,CCCCCCCCC
55,"1,3-Benzenediol",0.81,-1.59,Oc1cccc(O)c1
56,Corticosterone,-3.24,-3.4539999999999997,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
57,1-Chloropentane,-2.73,-2.294,CCCCCCl
58,Chloramphenicol,-2.1109999999999998,-2.613,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O
59,Oxamyl,0.106,-0.9079999999999999,CNC(=O)ON=C(SC)C(=O)N(C)C
60,Cyclohexanol ,-0.44,-1.261,OC1CCCCC1
61,Bromacil,-2.523,-3.4189999999999996,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O 
62,Tetrabromomethane,-3.14,-4.063,BrC(Br)(Br)Br
63,Eicosane,-8.172,-7.5760000000000005,CCCCCCCCCCCCCCCCCCCC
64,salicylanilide,-3.59,-3.782,c1ccccc1NC(=O)c2c(O)cccc2
65,Pencycuron,-5.915,-5.126,Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1
66,Digitoxin,-5.292999999999999,-6.114,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
67,prednisolone acetate,-4.37,-3.5069999999999997,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C 
68,nevirapine,-3.19,-3.397,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 
69,Hexadecane,-8.4,-6.159,CCCCCCCCCCCCCCCC
70,"1,4-Dimethylnaphthalene ",-4.14,-4.147,Cc1ccc(C)c2ccccc12
71,Tricyclazole,-2.07,-2.8680000000000003,Cc2cccc3sc1nncn1c23 
72,Neburon,-4.77,-4.157,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
73,Ioxynil,-3.61,-4.615,Oc1c(I)cc(C#N)cc1I
74,5-Allyl-5-ethylbarbital,-1.614,-1.368,O=C1NC(=O)NC(=O)C1(CC)CC=C
75,Dimethyl phthalate,-1.66,-2.347,COC(=O)c1ccccc1C(=O)OC
76,Acridine,-3.67,-3.846,c3ccc2nc1ccccc1cc2c3
77,Triamterene,-2.404,-3.051,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3
78,Dipropyl ether,-1.62,-1.426,CCCOCCC
79,Riboflavin,-3.685,-1.865,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C
80,borneol,-2.32,-2.423,CC1(C)C2CCC1(C)C(O)C2
81,3-Methylcholanthrene,-7.92,-6.311,c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2
82,Flumethasone,-5.6129999999999995,-3.5389999999999997,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
83,"1,2,4-Trimethylbenzene",-3.31,-3.343,Cc1ccc(C)c(C)c1
84,methyl gallate,-1.24,-1.913,COC(=O)c1cc(O)c(O)c(O)c1 
